query_id,ndcg,faith,model
Analyze_the_mechanisms__strengths__and_limitations_of_list_examples_of_early_med,0.9991031692211777,1.0,phi3_4b
Analyze_the_mechanisms__strengths__and_limitations_of_list_examples_of_electroni,1.0,1.0,phi3_4b
Compare_and_contrast_the_main_theoretical_perspectives_on_outline_the_core_subfi,0.9980212250126027,1.0,phi3_4b
Define_define_universal_intelligence_as_discussed_in_the_corpus___describe_its_t,1.0,1.0,phi3_4b
Define_describe_expert_systems_and_their_key_components___describe_its_theoretic,1.0,1.0,phi3_4b
Define_explain_knowledge_representation_in_expert_systems_according_to_the_corpu,1.0,1.0,phi3_4b
Define_explain_the_turing_test_as_described_in_the_corpus___describe_its_theoret,1.0,0.9583333333333334,phi3_4b
Define_provide_a_rigorous_definition_of_ai_using_only_the_provided_context___des,1.0,1.0,phi3_4b
Define_summarize_limitations_of_defining_intelligence_highlighted_in_the_corpus_,1.0,1.0,phi3_4b
Define_what_is_artificial_intelligence___describe_its_theoretical_foundations__a,1.0,1.0,phi3_4b
Analyze_the_mechanisms__strengths__and_limitations_of_list_examples_of_early_med,0.9991031692211777,1.0,mistral_7b
Analyze_the_mechanisms__strengths__and_limitations_of_list_examples_of_electroni,1.0,1.0,mistral_7b
Compare_and_contrast_the_main_theoretical_perspectives_on_outline_the_core_subfi,0.9980212250126027,0.9583333333333334,mistral_7b
Define_define_universal_intelligence_as_discussed_in_the_corpus___describe_its_t,1.0,1.0,mistral_7b
Define_describe_expert_systems_and_their_key_components___describe_its_theoretic,1.0,1.0,mistral_7b
Define_explain_knowledge_representation_in_expert_systems_according_to_the_corpu,1.0,1.0,mistral_7b
Define_explain_the_turing_test_as_described_in_the_corpus___describe_its_theoret,1.0,0.9545454545454546,mistral_7b
Define_provide_a_rigorous_definition_of_ai_using_only_the_provided_context___des,1.0,1.0,mistral_7b
Define_summarize_limitations_of_defining_intelligence_highlighted_in_the_corpus_,1.0,1.0,mistral_7b
Define_what_is_artificial_intelligence___describe_its_theoretical_foundations__a,1.0,1.0,mistral_7b
Analyze_the_mechanisms__strengths__and_limitations_of_list_examples_of_early_med,0.9991031692211777,1.0,llama3_8b
Analyze_the_mechanisms__strengths__and_limitations_of_list_examples_of_electroni,1.0,1.0,llama3_8b
Compare_and_contrast_the_main_theoretical_perspectives_on_outline_the_core_subfi,0.9980212250126027,0.9642857142857143,llama3_8b
Define_define_universal_intelligence_as_discussed_in_the_corpus___describe_its_t,1.0,1.0,llama3_8b
Define_describe_expert_systems_and_their_key_components___describe_its_theoretic,1.0,1.0,llama3_8b
Define_explain_knowledge_representation_in_expert_systems_according_to_the_corpu,1.0,1.0,llama3_8b
Define_explain_the_turing_test_as_described_in_the_corpus___describe_its_theoret,1.0,0.9545454545454546,llama3_8b
Define_provide_a_rigorous_definition_of_ai_using_only_the_provided_context___des,1.0,1.0,llama3_8b
Define_summarize_limitations_of_defining_intelligence_highlighted_in_the_corpus_,1.0,1.0,llama3_8b
Define_what_is_artificial_intelligence___describe_its_theoretical_foundations__a,1.0,1.0,llama3_8b
