query_id,ndcg,faith,model
Analyze_the_mechanisms__strengths__and_limitations_of_list_examples_of_early_med,0.9991031692211777,0.6142089641360056,phi3_4b
Analyze_the_mechanisms__strengths__and_limitations_of_list_examples_of_electroni,1.0,0.4108686317842263,phi3_4b
Compare_and_contrast_the_main_theoretical_perspectives_on_outline_the_core_subfi,0.9980212250126027,0.4195030896276825,phi3_4b
Define_define_universal_intelligence_as_discussed_in_the_corpus___describe_its_t,1.0,0.36443002872797325,phi3_4b
Define_describe_expert_systems_and_their_key_components___describe_its_theoretic,1.0,0.7683522045181709,phi3_4b
Define_explain_knowledge_representation_in_expert_systems_according_to_the_corpu,1.0,0.940730842161659,phi3_4b
Define_explain_the_turing_test_as_described_in_the_corpus___describe_its_theoret,1.0,0.44713342000755346,phi3_4b
Define_provide_a_rigorous_definition_of_ai_using_only_the_provided_context___des,1.0,0.31041166147856736,phi3_4b
Define_summarize_limitations_of_defining_intelligence_highlighted_in_the_corpus_,1.0,0.2911833469659885,phi3_4b
Define_what_is_artificial_intelligence___describe_its_theoretical_foundations__a,1.0,0.4658458892541152,phi3_4b
Analyze_the_mechanisms__strengths__and_limitations_of_list_examples_of_early_med,0.9991031692211777,0.758687189353856,mistral_7b
Analyze_the_mechanisms__strengths__and_limitations_of_list_examples_of_electroni,1.0,0.33725780743343886,mistral_7b
Compare_and_contrast_the_main_theoretical_perspectives_on_outline_the_core_subfi,0.9980212250126027,0.4621480736534858,mistral_7b
Define_define_universal_intelligence_as_discussed_in_the_corpus___describe_its_t,1.0,0.4099523970380573,mistral_7b
Define_describe_expert_systems_and_their_key_components___describe_its_theoretic,1.0,0.6330435622538462,mistral_7b
Define_explain_knowledge_representation_in_expert_systems_according_to_the_corpu,1.0,0.9304933954933955,mistral_7b
Define_explain_the_turing_test_as_described_in_the_corpus___describe_its_theoret,1.0,0.44701771030686166,mistral_7b
Define_provide_a_rigorous_definition_of_ai_using_only_the_provided_context___des,1.0,0.299087707857712,mistral_7b
Define_summarize_limitations_of_defining_intelligence_highlighted_in_the_corpus_,1.0,0.27566651603117026,mistral_7b
Define_what_is_artificial_intelligence___describe_its_theoretical_foundations__a,1.0,0.35985807226108696,mistral_7b
Analyze_the_mechanisms__strengths__and_limitations_of_list_examples_of_early_med,0.9991031692211777,0.6093307450690031,llama3_8b
Analyze_the_mechanisms__strengths__and_limitations_of_list_examples_of_electroni,1.0,0.5501134264538944,llama3_8b
Compare_and_contrast_the_main_theoretical_perspectives_on_outline_the_core_subfi,0.9980212250126027,0.4200895991621688,llama3_8b
Define_define_universal_intelligence_as_discussed_in_the_corpus___describe_its_t,1.0,0.37254137790914393,llama3_8b
Define_describe_expert_systems_and_their_key_components___describe_its_theoretic,1.0,0.7206202167649582,llama3_8b
Define_explain_knowledge_representation_in_expert_systems_according_to_the_corpu,1.0,0.6773439169534691,llama3_8b
Define_explain_the_turing_test_as_described_in_the_corpus___describe_its_theoret,1.0,0.3993674770023099,llama3_8b
Define_provide_a_rigorous_definition_of_ai_using_only_the_provided_context___des,1.0,0.2849131432332009,llama3_8b
Define_summarize_limitations_of_defining_intelligence_highlighted_in_the_corpus_,1.0,0.33651380583630264,llama3_8b
Define_what_is_artificial_intelligence___describe_its_theoretical_foundations__a,1.0,0.3473849251717575,llama3_8b
