query_id,ndcg,faith,model
Analyze_the_mechanisms__strengths__and_limitations_of_list_examples_of_early_med,0.9991031692211777,0.604227392727875,phi3_4b
Analyze_the_mechanisms__strengths__and_limitations_of_list_examples_of_electroni,1.0,0.39813097525209334,phi3_4b
Compare_and_contrast_the_main_theoretical_perspectives_on_outline_the_core_subfi,0.9980212250126027,0.32942033845822544,phi3_4b
Define_define_universal_intelligence_as_discussed_in_the_corpus___describe_its_t,1.0,0.39881778623203307,phi3_4b
Define_describe_expert_systems_and_their_key_components___describe_its_theoretic,1.0,0.7309608257099476,phi3_4b
Define_explain_knowledge_representation_in_expert_systems_according_to_the_corpu,1.0,0.7328164598701501,phi3_4b
Define_explain_the_turing_test_as_described_in_the_corpus___describe_its_theoret,1.0,0.47317419113367726,phi3_4b
Define_provide_a_rigorous_definition_of_ai_using_only_the_provided_context___des,1.0,0.37503979542597227,phi3_4b
Define_summarize_limitations_of_defining_intelligence_highlighted_in_the_corpus_,1.0,0.3204472049718423,phi3_4b
Define_what_is_artificial_intelligence___describe_its_theoretical_foundations__a,1.0,0.41950888533290664,phi3_4b
Analyze_the_mechanisms__strengths__and_limitations_of_list_examples_of_early_med,0.9991031692211777,0.5962230430988457,mistral_7b
Analyze_the_mechanisms__strengths__and_limitations_of_list_examples_of_electroni,1.0,0.27509389085520636,mistral_7b
Compare_and_contrast_the_main_theoretical_perspectives_on_outline_the_core_subfi,0.9980212250126027,0.39688607864137787,mistral_7b
Define_define_universal_intelligence_as_discussed_in_the_corpus___describe_its_t,1.0,0.3744282303208409,mistral_7b
Define_describe_expert_systems_and_their_key_components___describe_its_theoretic,1.0,0.7789735847884113,mistral_7b
Define_explain_knowledge_representation_in_expert_systems_according_to_the_corpu,1.0,0.7223584755090567,mistral_7b
Define_explain_the_turing_test_as_described_in_the_corpus___describe_its_theoret,1.0,0.46329127370791456,mistral_7b
Define_provide_a_rigorous_definition_of_ai_using_only_the_provided_context___des,1.0,0.31825124329133836,mistral_7b
Define_summarize_limitations_of_defining_intelligence_highlighted_in_the_corpus_,1.0,0.29069618101516626,mistral_7b
Define_what_is_artificial_intelligence___describe_its_theoretical_foundations__a,1.0,0.34880910754359995,mistral_7b
Analyze_the_mechanisms__strengths__and_limitations_of_list_examples_of_early_med,0.9991031692211777,0.5167966691452714,llama3_8b
Analyze_the_mechanisms__strengths__and_limitations_of_list_examples_of_electroni,1.0,0.5411617769214027,llama3_8b
Compare_and_contrast_the_main_theoretical_perspectives_on_outline_the_core_subfi,0.9980212250126027,0.38068201501251103,llama3_8b
Define_define_universal_intelligence_as_discussed_in_the_corpus___describe_its_t,1.0,0.37407978783586004,llama3_8b
Define_describe_expert_systems_and_their_key_components___describe_its_theoretic,1.0,0.7784625059024374,llama3_8b
Define_explain_knowledge_representation_in_expert_systems_according_to_the_corpu,1.0,0.8195695248453594,llama3_8b
Define_explain_the_turing_test_as_described_in_the_corpus___describe_its_theoret,1.0,0.4668974403928914,llama3_8b
Define_provide_a_rigorous_definition_of_ai_using_only_the_provided_context___des,1.0,0.3745478363114517,llama3_8b
Define_summarize_limitations_of_defining_intelligence_highlighted_in_the_corpus_,1.0,0.3850661360920319,llama3_8b
Define_what_is_artificial_intelligence___describe_its_theoretical_foundations__a,1.0,0.38593109129514785,llama3_8b
